transaction_id,store_id,product_id,quantity,price,transaction_date
1,83,6,9,394.27,2022-12-25
2,80,615,3,35.73,2023-01-06
3,99,315,2,27.42,2023-03-27
4,17,978,6,456.62,2024-06-01
5,72,150,7,381.48,2024-06-21
6,68,974,2,456.36,2023-01-05
7,12,707,5,483.31,2023-05-21
8,71,917,4,204.53,2023-06-28
9,74,669,4,265.69,2022-11-05
10,99,864,6,366.14,2024-06-02
11,41,719,4,37.48,2023-12-21
12,5,606,8,498.52,2022-11-27
13,42,304,7,319.26,2022-12-06
14,2,271,1,365.53,2023-10-28
15,67,458,6,100.18,2023-05-07
16,8,430,1,223.23,2024-03-25
17,20,603,2,414.76,2023-11-21
18,44,221,2,233.38,2023-10-22
19,85,395,4,410.94,2024-01-17
20,76,274,7,470.78,2022-11-02
21,61,321,5,358.77,2022-11-20
22,43,30,1,129.25,2023-07-22
23,77,827,3,171.09,2023-09-25
24,71,117,3,25.69,2022-10-01
25,27,113,5,13.76,2023-10-27
26,78,935,1,243.21,2023-12-02
27,47,96,9,167.77,2023-05-01
28,11,709,9,373.04,2023-07-03
29,59,391,1,30.93,2024-01-18
30,23,589,1,462.39,2023-09-22
31,66,561,8,70.37,2024-04-19
32,65,665,2,403.74,2023-03-30
33,45,609,7,360.95,2024-07-07
34,72,368,8,198.08,2023-11-01
35,26,13,4,203.61,2023-02-16
36,5,412,8,18.64,2023-05-11
37,60,993,1,138.71,2024-02-18
38,42,518,1,425.84,2024-05-24
39,3,309,9,82.46,2024-03-09
40,63,591,6,305.69,2023-01-02
41,53,940,6,333.91,2022-09-02
42,2,429,2,331.07,2022-12-23
43,90,276,5,100.61,2024-04-23
44,95,443,7,447.21,2023-04-04
45,23,136,4,102.1,2024-07-08
46,54,645,4,81.67,2023-05-22
47,91,382,9,428.84,2022-10-20
48,48,488,2,335.33,2024-01-31
49,44,521,7,206.78,2022-11-26
50,46,102,9,378.45,2024-08-25
51,73,406,1,96.56,2024-02-24
52,2,457,8,449.95,2023-03-02
53,29,889,5,399.12,2023-01-28
54,38,631,9,92.08,2023-04-16
55,93,315,7,13.35,2023-01-31
56,72,445,1,261.0,2023-01-30
57,74,439,9,437.82,2023-06-26
58,1,664,7,290.02,2023-12-25
59,10,167,6,486.08,2022-11-25
60,7,661,4,314.92,2023-01-12
61,57,633,5,147.56,2022-10-06
62,94,889,6,68.59,2024-04-07
63,68,292,2,232.35,2023-04-02
64,19,973,4,236.65,2023-04-24
65,53,174,1,216.93,2023-06-22
66,75,716,9,23.14,2022-12-25
67,7,210,4,378.61,2023-04-20
68,63,991,8,265.14,2024-02-18
69,68,365,3,146.39,2022-10-28
70,40,633,4,42.2,2024-04-11
71,37,171,4,335.75,2024-06-17
72,57,571,5,286.13,2023-07-28
73,27,534,3,435.44,2024-01-22
74,14,869,1,5.78,2024-05-07
75,1,831,4,187.97,2023-07-03
76,44,228,4,319.44,2024-01-12
77,95,770,7,450.3,2022-10-27
78,1,676,4,45.3,2022-09-17
79,13,576,9,454.7,2023-02-02
80,99,506,2,351.57,2022-12-01
81,14,78,4,436.05,2022-11-25
82,70,188,3,203.79,2022-12-22
83,46,472,3,24.26,2024-01-01
84,11,389,6,89.89,2023-05-20
85,12,44,3,72.83,2023-07-31
86,64,95,7,272.88,2022-10-21
87,8,442,3,71.78,2023-06-28
88,65,995,6,218.5,2024-06-09
89,77,424,2,213.53,2023-05-09
90,81,638,6,60.52,2023-06-06
91,36,18,9,102.78,2023-04-10
92,49,753,2,38.29,2023-03-04
93,92,48,6,270.76,2024-06-11
94,30,756,9,239.14,2024-08-05
95,75,182,9,141.09,2022-12-30
96,9,120,9,342.07,2023-02-23
97,85,285,2,70.98,2023-12-19
98,67,35,6,189.68,2023-12-09
99,41,350,8,239.69,2023-03-25
100,60,974,3,437.26,2023-07-13
101,23,128,9,260.45,2023-05-05
102,81,519,4,22.66,2023-07-12
103,7,477,1,303.62,2023-03-21
104,91,478,3,77.12,2024-02-06
105,47,904,1,85.77,2024-08-07
106,57,662,3,27.07,2024-03-29
107,20,327,7,320.64,2022-12-12
108,7,949,2,138.49,2024-07-23
109,75,798,9,283.04,2022-11-18
110,6,753,8,270.1,2023-10-08
111,76,993,6,451.8,2024-06-02
112,36,995,4,466.24,2023-07-01
113,55,133,7,467.06,2022-10-27
114,21,248,1,37.39,2024-05-10
115,77,149,1,409.15,2024-07-25
116,58,962,4,471.74,2023-04-15
117,55,597,1,64.06,2023-02-21
118,81,987,4,263.41,2022-12-23
119,33,456,6,81.78,2024-01-23
120,37,386,5,31.1,2024-03-28
121,28,770,1,322.53,2022-12-04
122,3,611,8,279.66,2023-06-27
123,48,429,9,242.18,2022-12-22
124,10,512,9,289.82,2024-04-03
125,16,923,8,6.4,2023-07-18
126,80,802,7,345.95,2023-09-20
127,66,292,4,240.65,2023-10-14
128,3,781,8,228.78,2023-09-25
129,51,262,2,166.77,2024-08-17
130,82,275,4,265.93,2024-05-15
131,4,300,6,83.49,2022-08-29
132,57,639,5,253.54,2023-06-06
133,68,489,7,153.05,2023-08-08
134,8,649,5,159.55,2022-12-13
135,89,7,8,321.24,2023-03-21
136,18,429,3,105.88,2024-02-06
137,30,542,2,207.11,2023-07-03
138,54,330,6,32.53,2023-12-29
139,37,257,3,251.62,2023-04-20
140,63,682,3,167.61,2023-12-20
141,41,950,6,255.16,2023-07-28
142,64,642,5,248.46,2024-04-28
143,34,487,4,23.31,2023-05-27
144,17,343,9,233.9,2023-05-30
145,26,868,1,179.99,2024-08-17
146,76,256,1,395.11,2023-03-13
147,72,621,6,247.47,2023-09-14
148,28,475,7,329.55,2023-09-09
149,19,190,7,30.23,2024-06-20
150,21,468,3,251.77,2024-04-07
151,71,319,1,134.65,2024-05-19
152,42,972,5,225.32,2023-02-01
153,40,866,4,364.59,2022-09-06
154,9,517,7,127.04,2022-10-16
155,27,409,1,71.38,2024-06-25
156,31,69,9,82.82,2024-02-02
157,47,111,6,233.22,2024-01-18
158,88,502,9,73.88,2024-06-13
159,23,874,3,75.09,2024-07-12
160,16,180,4,205.93,2024-08-13
161,96,354,1,260.55,2023-11-13
162,26,298,2,47.51,2022-12-20
163,55,958,8,481.58,2024-08-18
164,83,338,4,375.52,2023-08-15
165,72,439,9,458.4,2024-07-04
166,49,902,4,86.81,2023-04-18
167,71,822,1,280.5,2024-04-16
168,64,134,5,86.47,2023-08-29
169,71,668,1,139.58,2023-07-18
170,47,980,4,263.5,2024-05-10
171,24,902,2,41.43,2024-04-06
172,65,896,5,323.59,2023-02-08
173,53,41,4,345.7,2024-07-18
174,92,252,7,263.24,2022-09-05
175,25,567,8,93.09,2022-10-30
176,8,440,3,432.61,2023-08-31
177,98,558,3,331.17,2022-12-09
